PDF downloaded successfully and saved to /tmp/daily_incident_summary.pdf
Extracting incidents from the PDF...
Extracted 290 incidents from the PDF.
Creating SQLite database...
Existing database deleted: resources/normanpd.db
Database created at resources/normanpd.db
Inserted 290 incidents into the database.
Alarm|9
Alarm Holdup/Panic|1
Animal Complaint|1
Animal Dead|1
Animal Injured|2
Animal Livestock|1
Animal Vicious|1
Assault EMS Needed|2
Assist Fire|1
Barking Dog|2
Body Reported|1
Breathing Problems|2
Burglary|1
Call Nature Unknown|2
Check Area|7
Chest Pain|6
Civil Standby|1
Contact a Subject|24
Convulsion/Seizure|12
Debris in Roadway|1
Diabetic Problems|5
Disturbance/Domestic|19
Drunk Driver|3
Escort/Transport|1
Extra Patrol|1
Falls|9
Fire Alarm|1
Fire Gas Leak|1
Fire Grass|2
Follow Up|4
Found Item|5
Fraud|1
Harassment / Threats Report|7
Headache|2
Heart Problems/AICD|2
Hemorrhage/Lacerations|8
Hit and Run|1
Item Assignment|1
Larceny|8
Medical Call Pd Requested|2
Motorist Assist|1
Mutual Aid|1
Noise Complaint|2
Non Injury|4
Open Door/Premises Check|1
Pick Up Partner|1
Prowler|1
Public Assist|2
Runaway or Lost Child|1
Shots Heard|1
Sick Person|20
Stolen Vehicle|3
Stroke|2
Supplement Report|2
Suspicious|10
Traffic Stop|38
Transfer/Interfacility|13
Traumatic Injury|2
Trespassing|5
Unconscious/Fainting|1
Vandalism|1
Warrant Service|1
Welfare Check|10
With Injuries|6
PDF downloaded successfully and saved to /tmp/daily_incident_summary.pdf
Extracting incidents from the PDF...
Extracted 290 incidents from the PDF.
Creating SQLite database...
Existing database deleted: resources/normanpd.db
Database created at resources/normanpd.db
Inserted 290 incidents into the database.
Alarm|9
Alarm Holdup/Panic|1
Animal Complaint|1
Animal Dead|1
Animal Injured|2
Animal Livestock|1
Animal Vicious|1
Assault EMS Needed|2
Assist Fire|1
Barking Dog|2
Body Reported|1
Breathing Problems|2
Burglary|1
Call Nature Unknown|2
Check Area|7
Chest Pain|6
Civil Standby|1
Contact a Subject|24
Convulsion/Seizure|12
Debris in Roadway|1
Diabetic Problems|5
Disturbance/Domestic|19
Drunk Driver|3
Escort/Transport|1
Extra Patrol|1
Falls|9
Fire Alarm|1
Fire Gas Leak|1
Fire Grass|2
Follow Up|4
Found Item|5
Fraud|1
Harassment / Threats Report|7
Headache|2
Heart Problems/AICD|2
Hemorrhage/Lacerations|8
Hit and Run|1
Item Assignment|1
Larceny|8
Medical Call Pd Requested|2
Motorist Assist|1
Mutual Aid|1
Noise Complaint|2
Non Injury|4
Open Door/Premises Check|1
Pick Up Partner|1
Prowler|1
Public Assist|2
Runaway or Lost Child|1
Shots Heard|1
Sick Person|20
Stolen Vehicle|3
Stroke|2
Supplement Report|2
Suspicious|10
Traffic Stop|38
Transfer/Interfacility|13
Traumatic Injury|2
Trespassing|5
Unconscious/Fainting|1
Vandalism|1
Warrant Service|1
Welfare Check|10
With Injuries|6
