PDF downloaded successfully and saved to /tmp/daily_incident_summary.pdf
Extracting incidents from the PDF...
Extracted 290 incidents from the PDF.
Creating SQLite database...
Existing database deleted: resources/normanpd.db
Database created at resources/normanpd.db
Inserted 290 incidents into the database.
Top 400 rows from the incidents database:
Date / Time          Incident Number      Location                       Nature                         Incident ORI
--------------------------------------------------------------------------------------------------------------
8/4/2024 0:40        2024-00056204        S FLOOD AVE / MCNAMEE ST       Traffic Stop                   OK0140200 
8/4/2024 0:50        2024-00056205        1100 108TH AVE SE              Noise Complaint                OK0140200 
8/4/2024 0:56        2024-00056206        E DALE ST / N CRAWFORD AVE     Contact a Subject              OK0140200 
8/4/2024 1:05        2024-00056207        1321 N FLOOD AVE               Warrant Service                OK0140200 
8/4/2024 1:09        2024-00056208        850 ED NOBLE PKWY              Suspicious                     OK0140200 
8/4/2024 1:12        2024-00056209        758 ASP AVE                    Disturbance/Domestic           OK0140200 
8/4/2024 1:14        2024-00015598        3300 HEALTHPLEX PKWY           Transfer/Interfacility         EMSSTAT   
8/4/2024 1:18        2024-00015597        2000 ANN BRANDEN BLVD          Transfer/Interfacility         EMSSTAT   
8/4/2024 1:28        2024-00011572        1776 E ROBINSON ST             Hemorrhage/Lacerations         14005     
8/4/2024 1:28        2024-00015593        1776 E ROBINSON ST             Hemorrhage/Lacerations         EMSSTAT   
8/4/2024 1:31        2024-00056210        W LINDSEY ST / MCGEE DR        Drunk Driver                   OK0140200 
8/4/2024 1:32        2024-00056211        2200 W BROOKS ST               Burglary                       OK0140200 
8/4/2024 1:33        2024-00056212        900 E LINDSEY ST               Suspicious                     OK0140200 
8/4/2024 1:42        2024-00011573        301 TRIAD VILLAGE DR           Sick Person                    14005     
8/4/2024 1:42        2024-00015594        301 TRIAD VILLAGE DR           Sick Person                    EMSSTAT   
8/4/2024 1:45        2024-00056213        796 ASP AVE                    Disturbance/Domestic           OK0140200 
8/4/2024 1:50        2024-00056217        2301 GLEN OAKS DR Harassment / Threats Report                 OK0140200 
8/4/2024 1:55        2024-00056215        1300 CLASSEN BLVD              Welfare Check                  OK0140200 
8/4/2024 1:56        2024-00011574        E MAIN ST / N CRAWFORD AVE     Chest Pain                     14005     
8/4/2024 1:56        2024-00015595        E MAIN ST / N CRAWFORD AVE     Chest Pain                     EMSSTAT   
8/4/2024 1:58        2024-00011575        15700 E STATE HWY 9 HWY        Falls                          14005     
8/4/2024 1:58        2024-00015596        15700 E STATE HWY 9 HWY        Falls                          EMSSTAT   
8/4/2024 1:59        2024-00056214        211 W BOYD ST                  Disturbance/Domestic           OK0140200 
8/4/2024 2:07        2024-00056216        N FLOOD AVE / W TECUMSEH RD    Traffic Stop                   OK0140200 
8/4/2024 2:12        2024-00056218        3100 ROCK CREEK TRL            Drunk Driver                   OK0140200 
8/4/2024 2:14        2024-00015599        2000 ANN BRANDEN BLVD          Transfer/Interfacility         EMSSTAT   
8/4/2024 2:45        2024-00056219        4625 HERITAGE PLACE DR         Larceny                        OK0140200 
8/4/2024 3:03        2024-00056220        3100 ROCK CREEK TRL            Suspicious                     OK0140200 
8/4/2024 3:03        2024-00056221        E LINDSEY ST / CLASSEN BLVD    Contact a Subject              OK0140200 
